uniqueID,A / B Otic,condition,rating,date,usefulCount
177034,Abilify,Nausea/Vomiting,10,25-Sep-10,22
213569,Abilify,Vaginal Yeast Infection,3,13-Sep-17,0
138243,Abilify,Osteoarthritis,1,30-Jul-17,12
107660,Abilify,Birth Control,5,9-Jul-10,1
34479,Abilify,Motion Sickness,10,24-Jul-13,22
129438,Abilify,Birth Control,10,26-Aug-15,1
102941,Abilify,Bipolar Disorde,8,26-Sep-10,16
167908,Abilify,High Blood Pressure,1,4-Jan-16,10
56193,Abilify,Psoriatic Arthritis,10,21-May-17,4
159628,Abilify,"Diabetes, Type 1",1,13-May-15,9
58280,Abilify,Pain,9,16-Apr-08,15
38461,Abilify,Interstitial Cystitis,10,12-Jul-13,34
128928,Abilify,Birth Control,10,12-Dec-15,0
41991,Abilify,ADHD,10,30-Apr-11,159
85618,Abilify,Birth Control,4,20-Jul-14,35
62652,Abilify,Smoking Cessation,10,24-Feb-17,14
129850,Abilify,Emergency Contraception,8,27-Apr-15,9
103401,Abilify,Osteoarthritis,1,12-Feb-09,35
45260,Abilify,Major Depressive Disorde,10,23-Nov-15,58
222701,Abilify,Migraine Prevention,1,14-Sep-15,31
218886,Abilify,Bipolar Disorde,8,22-Jan-12,22
224062,Abilify,Migraine Prevention,8,24-Aug-11,22
9723,Abilify,Birth Control,1,2-Oct-15,3
215685,Abilify,Birth Control,5,11-Apr-17,6
188968,Abilify,Postmenopausal Symptoms,10,2-Jun-17,7
224823,Abilify,Depression,4,13-Jan-17,15
169168,Abilify,Bacterial Skin Infection,10,30-Apr-17,0
138742,Abilify,Weight Loss,9,18-May-11,19
81226,Abilify,Birth Control,2,4-Dec-16,4
215782,Abilify,Birth Control,10,17-Nov-16,24
219697,Abilify,ibromyalgia,1,30-Nov-17,0
168177,Abilify,Birth Control,9,19-Jul-09,5
21821,Abilify,Cough and Nasal Congestion,9,14-Oct-11,12
189728,Abilify,Pain,10,10-Sep-08,60
108899,Abilify,Birth Control,3,4-Jul-17,2
224904,Abilify,Depression,5,4-Sep-16,11
135063,Abilify,Hot Flashes,2,30-Jan-16,15
225258,Abilify,Smoking Cessation,10,7-Oct-15,11
6760,Abilify,Acne,10,14-Aug-12,12
9695,Abilify,Birth Control,10,10-Sep-15,10
44179,Abilify,Birth Control,5,7-Aug-11,2
65334,Abilify,Acne,10,8-Feb-16,21
225793,Abilify,ADHD,10,15-Jun-11,224
201017,Abilify,Depression,2,28-Jun-17,14
134836,Abilify,Diabetic Peripheral Neuropathy,1,22-Jul-16,14
181313,Abilify,Major Depressive Disorde,1,17-Nov-15,24
204311,Abilify,Anxiety,3,31-Dec-16,21
167965,Abilify,Birth Control,6,17-Nov-09,4
140925,Abilify,Depression,10,21-Dec-15,63
33560,Abilify,12</span> users found this comment helpful.,9,24-Dec-12,12
81808,Abilify,"Diabetes, Type 2",9,30-Mar-17,26
223540,Abilify,Renal Cell Carcinoma,9,23-Dec-10,80
15168,Abilify,Birth Control,8,18-May-17,6
72043,Abilify,Pain,1,2-Jun-15,18
53685,Abilify,Pain,1,18-Apr-17,2
204466,Abilify,Panic Disorde,10,26-Oct-14,84
70808,Abilify,Constipation,10,17-Feb-17,16
214538,Abilify,Vaginal Yeast Infection,10,11-Apr-15,22
230576,Abilify,Birth Control,6,15-Apr-11,2
192374,Abilify,,4,13-Apr-15,8
187095,Abilify,Birth Control,5,12-Jul-15,2
165665,Abilify,Emergency Contraception,10,20-Apr-17,2
131772,Abilify,Depression,10,24-Dec-15,28
176098,Abilify,Insomnia,6,7-Feb-12,26
103111,Abilify,"Diabetes, Type 2",9,10-Jul-13,11
214584,Abilify,Generalized Anxiety Disorde,10,25-Nov-17,6
58995,Abilify,Renal Cell Carcinoma,10,13-Sep-10,13
201473,Abilify,Social Anxiety Disorde,8,24-Feb-15,47
186353,Abilify,Depression,3,15-Jan-12,7
165767,Abilify,,7,3-Apr-17,0
192633,Abilify,Birth Control,4,17-Jan-12,7
165109,Abilify,Obesity,10,29-May-14,48
205428,Abilify,Major Depressive Disorde,3,9-Apr-15,11
229587,Abilify,Bipolar Disorde,5,5-Jul-15,0
31465,Abilify,Vaginal Yeast Infection,3,21-Apr-16,3
136044,Abilify,Alcohol Dependence,10,25-Oct-10,62
10545,Abilify,Acne,10,12-Jan-15,82
180154,Abilify,Nausea/Vomiting of Pregnancy,3,18-Jan-17,6
53409,Abilify,Pain,10,15-Sep-09,32
37326,Abilify,Binge Eating Disorde,8,15-Oct-15,18
230601,Abilify,Birth Control,10,5-Sep-11,3
5486,Abilify,Hepatitis C,9,11-Jan-16,9
64109,Abilify,Depression,3,28-Apr-17,12
70424,Abilify,Back Pain,9,10-Jun-09,20
66458,Abilify,Cold Sores,9,12-Nov-11,7
14420,Abilify,Opiate Dependence,10,7-Aug-10,16
198057,Abilify,Heart Attack,5,23-May-11,14
205505,Abilify Discmelt,Depression,7,10-Nov-13,81
120460,Abilify Maintena,Asthma,9,3-Sep-09,7
221339,Abiraterone,Cough,2,25-Oct-16,10
171255,Abiraterone,Erectile Dysfunction,4,14-Sep-17,2
195055,Abiraterone,Insomnia,1,6-Jun-15,23
75416,AbobotulinumtoxinA,Autoimmune Hepatitis,10,14-Mar-16,10
179764,Abreva,Acne,2,12-Jan-16,1
210167,Abreva,"Constipation, Chronic",10,24-Feb-17,25
194809,Abreva,Seizures,9,7-Dec-16,28
221626,Abreva,Acne,10,24-Apr-12,30
145956,Abreva,Opiate Dependence,5,29-May-17,19
110030,Abreva,Birth Control,9,5-May-16,2
135690,Abreva,Bacterial Vaginitis,5,31-Aug-14,12
115272,Abreva,Not Listed / Othe,10,2-Apr-09,9
10485,Abreva,Acne,9,17-Apr-16,7
170238,Abreva,Bipolar Disorde,9,17-Aug-16,23
113665,Abreva,Headache,10,12-Jan-09,30
14924,Abreva,Birth Control,5,11-Sep-17,2
223117,Abreva,Postmenopausal Symptoms,10,20-Feb-16,11
106073,Abreva,ibromyalgia,9,17-May-16,43
188723,Abreva,Birth Control,10,24-Jun-15,7
115374,Abreva,Anesthesia,10,16-Apr-16,9
199475,Abreva,Birth Control,9,6-Mar-15,1
66036,Abreva,mance Anxiety,10,23-Oct-14,59
179979,Abreva,Acne,9,12-Mar-14,27
16674,Abreva,Menstrual Disorders,8,1-Oct-09,8
35120,Abreva,Pneumonia,1,27-May-16,4
169001,Abreva,Depression,10,22-Jun-12,25
157670,Abreva,Acne,10,11-May-16,28
225775,Abreva,Depression,10,5-Aug-12,41
68412,Abreva,Pain,7,19-May-16,1
28898,Abreva,Depression,10,14-Jul-09,13
170146,Abreva,Generalized Anxiety Disorde,9,10-Apr-17,25
57137,Abreva,"Constipation, Acute",10,13-Jun-11,142
173112,Abreva,Anxiety,10,16-Aug-11,31
224041,Abreva,Seizures,9,2-Dec-16,5
166983,Abreva,Birth Control,9,25-Jun-16,3
133232,Abreva,0</span> users found this comment helpful.,5,20-Dec-11,0
1103,Abreva,Rosacea,9,29-Feb-12,110
72195,Abreva,Chronic Pain,9,31-May-14,20
197824,Abreva,Benign Essential Trem,9,19-Feb-17,4
36268,Abreva,Human Papilloma Virus,8,2-Nov-15,12
206605,Abreva,Hypersomnia,8,15-Apr-12,28
165916,Abreva,Birth Control,10,5-Mar-17,7
227136,Abreva,Birth Control,8,24-May-14,29
32246,Abreva,Diabetic Kidney Disease,1,7-Jul-17,3
80198,Abreva,Cough,10,30-Sep-09,21
115012,Abreva,Meniere's Disease,10,14-Nov-15,52
159489,Abreva,Nasal Congestion,4,11-Sep-16,1
121298,Abreva,Depression,1,15-Jun-16,24
217603,Abreva,Pneumonia,9,26-Feb-11,20
137706,Abreva,Psoriatic Arthritis,8,19-Sep-16,11
15765,Abreva,Birth Control,3,26-Sep-16,0
24509,Absorica,Bowel Preparation,10,17-Mar-16,42
107693,Absorica,Birth Control,5,5-May-10,1
50635,Abstral,Pain,9,9-May-10,37
33395,Acamprosate,Birth Control,2,21-Oct-15,3
133845,Acamprosate,Keratoconjunctivitis Sicca,1,6-Oct-15,31
4554,Acamprosate,Weight Loss,7,30-Mar-16,25
214067,Acamprosate,Vaginal Yeast Infection,1,24-Apr-16,5
188073,Acamprosate,Bipolar Disorde,7,28-Dec-08,17
118748,Acamprosate,Depression,1,16-Nov-12,44
118795,Acamprosate,Obsessive Compulsive Disorde,9,1-Mar-12,90
168672,Acamprosate,Major Depressive Disorde,3,22-Apr-16,15
24298,Acamprosate,Acne,8,31-Oct-08,68
46619,Acamprosate,Chronic Myelogenous Leukemia,10,12-Sep-14,5
186587,Acamprosate,Depression,7,30-Dec-09,175
98320,Acamprosate,Birth Control,9,31-Mar-15,0
156401,Acamprosate,Restless Legs Syndrome,10,13-Jun-11,4
195537,Acamprosate,Birth Control,3,5-Oct-15,4
230361,Acamprosate,Endometriosis,7,24-Mar-14,40
106078,Acamprosate,Anxiety,8,9-May-16,66
104260,Acamprosate,Birth Control,8,5-Nov-12,8
17953,Acamprosate,Birth Control,9,25-Dec-12,3
83706,Acamprosate,emale Infertility,10,16-Jun-15,171
117213,Acamprosate,Oral Thrush,2,30-Jan-16,8
29210,Acamprosate,Migraine Prevention,6,21-Sep-16,9
145099,Acamprosate,Birth Control,1,8-Nov-15,9
96970,Acamprosate,Insomnia,10,14-Nov-15,14
37351,Acamprosate,ADHD,8,6-Jul-15,36
164015,Acamprosate,Actinic Keratosis,10,18-Oct-16,10
99363,Acamprosate,HIV Infection,10,24-Sep-17,3
72178,Acamprosate,Pain,9,1-Aug-14,73
190911,Acamprosate,Cough,9,4-Jan-15,63
140329,Acamprosate,Bipolar Disorde,10,24-Jun-11,11
112356,Acamprosate,Anxiety,1,24-Nov-16,40
51992,Acamprosate,Weight Loss,8,3-Jun-15,37
104100,Acamprosate,Birth Control,10,2-Oct-13,5
207893,Acamprosate,Bowel Preparation,8,23-Jul-15,15
214843,Acamprosate,Vitamin/Mineral Supplementation during Pregnancy/Lactation,10,4-Oct-11,19
167823,Acanya,Bacterial Infection,9,26-Mar-15,58
22756,Acanya,Vitamin D Deficiency,10,18-Oct-09,150
17131,Acanya,Sciatica,9,24-Dec-12,101
126217,Acanya,Depression,10,20-Apr-12,70
71206,Acanya,Menstrual Disorders,10,12-Jul-13,117
29756,Acanya,Migraine Prevention,4,28-Nov-09,14
194346,Acanya,Otitis Media,1,13-Apr-09,11
175354,Acanya,Skin or Soft Tissue Infection,2,3-Sep-17,1
191287,Acanya,Crohn's Disease,10,11-Mar-14,6
70362,Acanya,Nausea/Vomiting,7,21-Feb-10,15
103669,Acarbose,GERD,1,10-Jun-09,21
219262,Accolate,Depression,10,17-Dec-09,59
85190,Accutane,Birth Control,9,31-Aug-15,10
201089,Accutane,Depression,4,25-Jan-17,16
20355,Accutane,Urinary Tract Infection,2,4-Nov-17,0
161518,Accutane,Insomnia,3,11-Feb-09,14
34603,Accutane,Rheumatoid Arthritis,4,20-Mar-17,2
187531,Accutane,Vaginal Yeast Infection,2,29-Mar-16,5
211618,Accutane,Labor Induction,10,15-Aug-14,16
130982,Accutane,Birth Control,1,7-May-10,470
69918,Accutane,Myasthenia Gravis,8,12-Jun-11,20
187562,Accutane,Back Pain,9,28-Aug-12,30
188119,Accutane,Psoriasis,8,2-Oct-08,38
116135,Accutane,Skin or Soft Tissue Infection,8,9-Jan-17,8
134925,Accutane,Soft Tissue Sarcoma,10,26-Sep-14,61
123696,Accutane,Birth Control,1,7-Mar-17,2
162181,Accutane,Osteoporosis,1,27-Jun-16,157
112931,Accutane,Constipation,10,16-Dec-16,0
82840,Accutane,Anxiety,10,26-Oct-16,58
114731,Accutane,Psoriasis,9,6-May-14,86
26463,Accutane,Ovarian Cysts,3,18-Jan-15,12
227344,Accutane,Birth Control,1,23-Oct-13,3
152480,Accutane,Kidney Infections,10,9-Nov-10,26
130786,Accutane,Birth Control,3,7-Nov-11,0
38072,Accutane,Weight Loss,1,23-Jan-16,11
81626,Accutane,Weight Loss,10,7-Jul-17,12
176057,Accutane,Pain,10,16-Jun-11,15
123346,Accutane,Birth Control,7,16-May-13,5
107567,Accutane,Birth Control,10,23-Nov-10,2
21389,Accutane,Acne,8,30-May-17,2
154831,Accutane,Giardiasis,5,4-May-17,0
145518,Accutane,Weight Loss,10,3-Nov-16,69
28807,Accutane,Depression,8,6-Nov-09,20
92082,Accutane,ibromyalgia,9,26-Feb-13,68
94171,Accutane,Depression,9,31-Oct-15,48
155506,Accutane,Diverticulitis,10,12-Dec-14,30
30163,Accutane,Anxiety,9,10-Jul-15,51
204329,Accutane,Anxiety,3,24-Jul-17,21
208349,Accutane,Influenza,10,4-Feb-16,5
32998,Accutane,Abnormal Uterine Bleeding,2,7-May-15,8
212684,Accutane,Anxiety,10,24-Jun-11,38
187972,Accutane,Birth Control,10,11-Oct-17,4
89158,Accutane,Anxiety and Stress,7,5-Mar-17,62
187715,Accutane,Cough,10,22-Mar-10,28
224859,Accutane,Depression,10,26-Oct-16,145
30417,Accutane,Anxiety,10,30-Oct-09,84
10478,Accutane,Acne,9,17-May-16,5
59972,Accutane,Birth Control,1,17-Jul-15,9
34908,Accutane,Acne,10,5-Jul-15,15
79437,Accutane,Emergency Contraception,10,4-May-15,24
9061,Accutane,Sinusitis,10,15-Oct-16,31
137998,Accutane,Birth Control,7,16-Nov-15,1
45774,Accutane,Panic Disorde,3,19-Jul-11,3
7953,Accutane,Anxiety,9,27-Apr-12,32
92592,Accutane,Gastroenteritis,10,26-Apr-09,66
156591,Accutane,"Diabetes, Type 2",1,18-May-17,12
25584,Accutane,Osteoarthritis,3,4-Apr-16,20
87535,Accutane,Period Pain,7,19-Oct-15,9
53673,Accutane,Birth Control,6,18-Aug-09,15
24171,Accutane,Acne,10,6-Oct-15,16
97320,Accutane,Insomnia,6,4-Oct-09,35
100825,Accutane,Obesity,9,18-Nov-15,35
219535,Accutane,Birth Control,9,26-Jul-15,5
81176,Accutane,Birth Control,3,10-Aug-17,10
105726,Accutane,Inflammatory Conditions,7,13-Aug-14,22
182710,Accutane,Osteoarthritis,3,2-Jul-17,8
109035,Accutane,Birth Control,1,12-May-17,4
116614,Accutane,Muscle Pain,7,11-Mar-16,0
217400,Accutane,Pneumonia,10,10-Feb-16,20
184770,Accutane,"Diabetes, Type 2",6,11-Nov-17,0
203523,Accutane,Allergic Rhinitis,9,29-Aug-15,4
189422,Accutane,Pain,9,11-Mar-12,27
37359,Accutane,ADHD,8,1-May-15,28
33815,Accutane,Birth Control,1,8-Apr-17,6
60892,Accutane,6</span> users found this comment helpful.,10,4-Oct-12,6
35380,Accutane,Sinusitis,10,9-Jan-11,42
159532,Accutane,Neutropenia Associated with Chemotherapy,8,20-Jan-16,13
139178,Accutane,Weight Loss,10,9-Sep-08,50
129061,Accutane,Emergency Contraception,10,12-Nov-15,13
32615,Accutane,High Blood Pressure,10,9-Sep-09,13
58718,Accutane,Rosacea,2,27-Nov-16,6
148790,Accutane,Birth Control,1,4-May-16,2
203871,Accutane,Insomnia,1,18-Feb-16,16
212539,Accutane,"Herpes Simplex, Suppression",8,22-Sep-17,6
177996,Accutane,Pain,1,24-Apr-12,32
154285,Accutane,GERD,6,25-Jan-10,22
33923,Accutane,Menstrual Disorders,2,3-Jun-15,5
61402,Accutane,Anxiety and Stress,10,29-Jul-17,206
221103,Accutane,Hyperhidrosis,10,9-May-16,14
30750,Accutane,Vaginal Yeast Infection,1,8-Aug-17,4
209020,Accutane,Multiple Sclerosis,1,3-Oct-15,3
80264,Accutane,Cough,10,17-Dec-15,10
210901,Accutane,Depression,10,2-Feb-16,44
28121,Accutane,Generalized Anxiety Disorde,10,18-Sep-15,77
66762,Accutane,24</span> users found this comment helpful.,9,19-Sep-13,24
98350,Accutane,Birth Control,9,23-Apr-15,5
189698,Accutane,Pain,10,8-Jul-09,42
56849,Accutane,Vertig,9,22-Jul-09,46
162715,Accutane,Sinusitis,10,4-Nov-17,0
218532,Accutane,Birth Control,10,8-Aug-17,2
106428,Accutane,Birth Control,7,2-May-16,8
61511,Accutane,Depression,1,13-May-17,8
101714,Accutane,Muscle Spasm,1,11-Nov-15,4
96811,Accutane,Insomnia,8,21-Nov-16,25
51100,Accutane,Bronchitis,8,28-Jul-16,9
218632,Accutane,Birth Control,1,3-May-16,3
13171,Accutane,Restless Legs Syndrome,7,30-Aug-15,12
164009,Accutane,Actinic Keratosis,3,6-Jan-17,7
38813,Accutane,GERD,9,28-Nov-14,76
134165,Accutane,Asthma,1,30-Apr-16,18
36834,Accutane,Pain,8,12-Aug-08,7
194727,Accutane,Nasal Congestion,8,25-Jun-17,4
161188,Accutane,Autism,9,2-May-10,44
34471,Acetaminophen,Alpha-1 Proteinase Inhibitor Deficiency,10,15-Nov-08,11
165298,Acetaminophen,Weight Loss,10,3-Mar-13,113
221053,Acetaminophen,Birth Control,1,6-Apr-17,4
148989,Acetaminophen,Birth Control,9,2-Oct-15,12
215610,Acetaminophen,Birth Control,1,27-Jun-17,6
116000,Acetaminophen,Bipolar Disorde,7,20-Jun-12,48
212446,Acetaminophen,Bipolar Disorde,10,16-Jan-09,73
115738,Acetaminophen,High Cholesterol,5,29-Nov-11,283
220353,Acetaminophen,Anxiety and Stress,4,13-Feb-14,62
12887,Acetaminophen / aspirin,Erectile Dysfunction,7,14-Oct-16,17
94677,Acetaminophen / aspirin / caffeine,Bipolar Disorde,2,14-Aug-15,10
114107,Acetaminophen / aspirin / caffeine,High Blood Pressure,2,1-Feb-15,89
173111,Acetaminophen / aspirin / caffeine,Restless Legs Syndrome,10,26-Aug-11,28
124031,Acetaminophen / aspirin / caffeine,Birth Control,5,16-Jun-16,1
126410,Acetaminophen / aspirin / caffeine,High Blood Pressure,9,19-Feb-13,59
61207,Acetaminophen / aspirin / caffeine,Urticaria,10,25-Aug-11,32
97581,Acetaminophen / aspirin / caffeine,Depression,8,8-Nov-16,7
169744,Acetaminophen / aspirin / caffeine,ibromyalgia,2,17-Jan-11,46
185981,Acetaminophen / aspirin / caffeine,Depression,5,10-Jan-17,5
216769,Acetaminophen / aspirin / caffeine,High Cholesterol,8,27-Mar-14,90
138923,Acetaminophen / aspirin / caffeine,Weight Loss,8,6-Dec-09,7
178597,Acetaminophen / aspirin / caffeine,Weight Loss,4,17-May-17,17
50289,Acetaminophen / aspirin / caffeine,Anxiety,10,25-Apr-14,199
148728,Acetaminophen / aspirin / caffeine,Birth Control,10,17-Aug-16,8
135893,Acetaminophen / aspirin / caffeine,Pain,10,17-Feb-11,4
38995,Acetaminophen / aspirin / caffeine,Weight Loss,8,15-Aug-17,27
11713,Acetaminophen / aspirin / caffeine,"Diabetes, Type 2",3,20-Mar-17,67
49422,Acetaminophen / aspirin / caffeine,Birth Control,2,26-Feb-16,1
37729,Acetaminophen / aspirin / caffeine,ADHD,10,15-Aug-08,182
33854,Acetaminophen / aspirin / caffeine,Birth Control,10,17-Jun-16,9
62983,Acetaminophen / aspirin / caffeine,Menstrual Disorders,10,1-Jun-17,31
39589,Acetaminophen / aspirin / caffeine,Obesity,9,3-Feb-16,23
109920,Acetaminophen / aspirin / caffeine,Birth Control,1,7-Jun-16,2
128788,Acetaminophen / aspirin / caffeine,Weight Loss,10,24-Jan-15,91
59600,Acetaminophen / aspirin / caffeine,Birth Control,1,20-Nov-17,0
221482,Acetaminophen / aspirin / caffeine,Cough,10,4-Oct-14,13
34020,Acetaminophen / aspirin / caffeine / salicylamide,Acne,6,13-Aug-11,16
6703,Acetaminophen / aspirin / caffeine / salicylamide,Panic Disorde,1,9-Jun-16,3
52042,Acetaminophen / butalbital,Weight Loss,10,16-Nov-14,212
188701,Acetaminophen / butalbital,Birth Control,9,16-Dec-15,6
151305,Acetaminophen / butalbital,Pain,10,17-Jun-08,134
31769,Acetaminophen / butalbital,Vaginal Yeast Infection,3,26-Nov-15,11
19076,Acetaminophen / butalbital / caffeine,Anxiety,3,8-Jun-09,28
179410,Acetaminophen / butalbital / caffeine,Bipolar Disorde,9,26-Oct-11,36
9532,Acetaminophen / butalbital / caffeine,Birth Control,1,3-May-16,5
165657,Acetaminophen / butalbital / caffeine,Emergency Contraception,5,22-Apr-17,3
201205,Acetaminophen / butalbital / caffeine,Major Depressive Disorde,5,28-Aug-16,11
153732,Acetaminophen / butalbital / caffeine,Acne,7,3-Aug-09,11
195429,Acetaminophen / butalbital / caffeine,Birth Control,7,5-Sep-17,2
173580,Acetaminophen / butalbital / caffeine,Systemic Lupus Erythematosus,8,26-Oct-09,38
212161,Acetaminophen / butalbital / caffeine,Bipolar Disorde,10,9-Apr-15,9
138646,Acetaminophen / butalbital / caffeine,Weight Loss,5,8-Mar-12,1
184605,Acetaminophen / butalbital / caffeine,Diarrhea,10,15-Sep-11,46
189119,Acetaminophen / butalbital / caffeine,Pain,9,16-Oct-17,5
75490,Acetaminophen / butalbital / caffeine,"Crohn's Disease, Acute",2,12-Sep-10,6
222923,Acetaminophen / butalbital / caffeine,Migraine Prevention,10,9-Jan-10,3
144633,Acetaminophen / butalbital / caffeine,Birth Control,8,29-Feb-16,4
153744,Acetaminophen / butalbital / caffeine,Acne,4,11-May-09,19
211529,Acetaminophen / butalbital / caffeine,HIV Infection,7,20-Jan-17,5
79066,Acetaminophen / butalbital / caffeine,Emergency Contraception,5,22-Feb-17,4
144905,Acetaminophen / butalbital / caffeine,Birth Control,10,9-Jan-16,6
90693,Acetaminophen / butalbital / caffeine,Birth Control,1,21-Aug-16,1
168284,Acetaminophen / butalbital / caffeine,Migraine,10,10-May-15,12
188570,Acetaminophen / butalbital / caffeine,Birth Control,9,10-Nov-16,0
217916,Acetaminophen / butalbital / caffeine,Social Anxiety Disorde,8,8-Nov-08,15
7333,Acetaminophen / butalbital / caffeine,Vaginal Yeast Infection,1,6-Jul-17,11
10544,Acetaminophen / butalbital / caffeine,Acne,10,21-Jan-15,36
66244,Acetaminophen / butalbital / caffeine,"Herpes Simplex, Suppression",1,17-Nov-16,9
72037,Acetaminophen / butalbital / caffeine,Depression,10,8-Jun-15,121
193405,Acetaminophen / butalbital / caffeine,Muscle Spasm,10,7-Jan-13,34
140520,Acetaminophen / butalbital / caffeine,Anxiety,10,18-Jan-17,13
25898,Acetaminophen / butalbital / caffeine,Birth Control,8,20-May-08,73
26515,Acetaminophen / butalbital / caffeine,Birth Control,10,5-Nov-13,10
