State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
AK,2015,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Number of Deaths,"4,193",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2015,December,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,Percent with drugs specified,89.25619835,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128
AK,2015,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Percent with drugs specified,88.97637795,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,February,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,February,12 month-ending,Number of Deaths,"4,084",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,February,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Number of Deaths,"4,034",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,January,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Percent with drugs specified,89.68253968,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,January,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,January,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Number of Deaths,"4,220",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,July,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Percent with drugs specified,87.17948718,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,July,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,118
AK,2015,June,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,Number of Deaths,"4,201",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2015,June,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,June,12 month-ending,Percent with drugs specified,86.7768595,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,March,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,March,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,March,12 month-ending,Number of Deaths,"4,101",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,March,12 month-ending,Percent with drugs specified,88.8,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,March,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,May,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,May,12 month-ending,Percent with drugs specified,86.4,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,May,12 month-ending,Number of Deaths,"4,196",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,November,12 month-ending,Psychostimulants with abuse potential (T43.6),26,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,27
AK,2015,November,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",79,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,80
AK,2015,November,12 month-ending,Methadone (T40.3),10,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11
AK,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,116
AK,2015,November,12 month-ending,Natural & semi-synthetic opioids (T40.2),48,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,49
AK,2015,November,12 month-ending,Number of Deaths,"4,219",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,November,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,65
AK,2015,November,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",15,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16
AK,2015,November,12 month-ending,Heroin (T40.1),34,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35
AK,2015,November,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2015,November,12 month-ending,Percent with drugs specified,90.43478261,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,November,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,55
AK,2015,October,12 month-ending,Psychostimulants with abuse potential (T43.6),27,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28
AK,2015,October,12 month-ending,Number of Deaths,"4,241",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,October,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",86,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,87
AK,2015,October,12 month-ending,Percent with drugs specified,90,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,October,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,56
AK,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121
AK,2015,October,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",17,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18
AK,2015,October,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",66,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,67
AK,2015,October,12 month-ending,Methadone (T40.3),10,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11
AK,2015,October,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2015,October,12 month-ending,Natural & semi-synthetic opioids (T40.2),49,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,50
AK,2015,October,12 month-ending,Heroin (T40.1),39,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40
AK,2015,September,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,Heroin (T40.1),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,September,12 month-ending,Percent with drugs specified,88,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,September,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,Number of Deaths,"4,242",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,September,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2015,September,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AK,2016,April,12 month-ending,Cocaine (T40.5),11,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12
AK,2016,April,12 month-ending,Number of Deaths,"4,262",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",11,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12
AK,2016,April,12 month-ending,Methadone (T40.3),18,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,19
AK,2016,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),60,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,61
AK,2016,April,12 month-ending,Psychostimulants with abuse potential (T43.6),35,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36
AK,2016,April,12 month-ending,Heroin (T40.1),40,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,41
AK,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,133
AK,2016,April,12 month-ending,Percent with drugs specified,93.93939394,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,76
AK,2016,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,69
AK,2016,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",95,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,96
AK,2016,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,73
AK,2016,August,12 month-ending,Cocaine (T40.5),12,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13
AK,2016,August,12 month-ending,Methadone (T40.3),19,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20
AK,2016,August,12 month-ending,Psychostimulants with abuse potential (T43.6),41,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,42
AK,2016,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13
AK,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,139
AK,2016,August,12 month-ending,Number of Deaths,"4,276",100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),55,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,56
AK,2016,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,101
AK,2016,August,12 month-ending,Percent with drugs specified,96.37681159,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,65
AK,2016,August,12 month-ending,Heroin (T40.1),39,100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40
AK,2016,December,12 month-ending,Psychostimulants with abuse potential (T43.6),53,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,55
AK,2016,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",96,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,98
AK,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,131
AK,2016,December,12 month-ending,Methadone (T40.3),14,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15
AK,2016,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),46,100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,47
